company,icp_segment,icp_label,icp_score,warm_score,raw_score,open_positions,portals_seen,contact_email,contact_phone,company_url,first_url,positions,salaries,locations,warm_signals,description_excerpt,source_search,icp_service,icp_match,all_urls
VLTAVA LABE MEDIA a.s.,paid_media,Paid media specialist,57,15,3,1,jobs.cz,,,,https://www.jobs.cz/rpd/2001161872/?searchId=3894bdd1-1436-41df-9887-228e350708c6&rps=233,PPC specialista/tka (Google Ads & Meta Ads),,Praha – Jinonice,raw_match_3,,icp-paid-media,Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PPC specialist,https://www.jobs.cz/rpd/2001161872/?searchId=3894bdd1-1436-41df-9887-228e350708c6&rps=233
PLOTOVÉ CENTRUM KOPEČEK s.r.o.,paid_media,Paid media specialist,52,15,2,1,jobs.cz,,,,https://www.jobs.cz/rpd/2001208376/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233,Marketing PPC Specialista – Google & Meta Ads | Rajhrad u Brna,,Rajhrad,"raw_match_2, recent",,icp-paid-media,Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PPC Specialist,https://www.jobs.cz/rpd/2001208376/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233
Scalepunk,paid_media,Paid media specialist,49,15,1,2,jobs.cz,,,,https://www.jobs.cz/rpd/2001005129/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233,Performance Marketing Manager (Mid-Level) | Senior PPC specialist,,Praha – Karlín,senior_role,,"icp-paid-media, marketing-leadership, smoke-multi, smoke-test",Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PPC specialist,https://www.jobs.cz/rpd/2001005129/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233 | https://www.jobs.cz/rpd/2001021349/?searchId=d12a7c06-6cfe-4574-8886-50f971ab2d4c&rps=233
"Seznam.cz, a.s.",paid_media,Paid media specialist,47,15,1,1,jobs.cz,,,,https://www.jobs.cz/rpd/2001099876/?searchId=3c2f030e-3274-4012-9c32-0be47dade37f&rps=233,Senior Social Ads & PPC Specialist,,Praha,senior_role,,icp-paid-media,Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PPC Specialist,https://www.jobs.cz/rpd/2001099876/?searchId=3c2f030e-3274-4012-9c32-0be47dade37f&rps=233
Alza.cz,paid_media,Paid media specialist,47,10,2,1,startupjobs,,,,https://www.startupjobs.cz/nabidka/103333/ppc-specialist-performance,PPC Specialist / Performance,,Praha,raw_match_2,,icp-paid-media,Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PPC Specialist,https://www.startupjobs.cz/nabidka/103333/ppc-specialist-performance
"BEWIT Natural Medicine, s.r.o.",marketing_leader,Marketing leadership,44,0,3,2,jobs.cz,,,,https://www.jobs.cz/rpd/2001184266/?searchId=599193b9-aad2-4423-84a5-11bdb4b480e2&rps=233,CMO / Marketingový ředitel - lídr marketingu s inteligencí a srdcem | CMO / Marketingový ředitel - lídr marketingu s inteligencí a srdcem (Ostrava),,"Ostrava – Slezská Ostrava, Česká republika",,,marketing-leadership,Marketing agency (full-stack content + ads + automation),CMO,https://www.jobs.cz/rpd/2001184266/?searchId=599193b9-aad2-4423-84a5-11bdb4b480e2&rps=233 | https://www.jobs.cz/rpd/2001203762/?searchId=599193b9-aad2-4423-84a5-11bdb4b480e2&rps=233
"Privatbanka, a.s., pobočka Česká republika",ai_ml,AI/ML hire,37,0,1,1,,,,,https://www.jobs.cz/rpd/2001165661/?searchId=7602876d-424f-414f-a1a4-c581717302c1&rps=233,Head of data AI,,Praha – Nové Město,,,data-ai-leadership,"AI agent build + retainer (30-300k Kč build, 15-300k/měs)",Head of data,https://www.jobs.cz/rpd/2001165661/?searchId=7602876d-424f-414f-a1a4-c581717302c1&rps=233
Messer Technogas s.r.o.,fundraising,Fundraising / IR / Capital Markets,37,0,2,1,,,,,https://www.jobs.cz/rpd/2001197171/?searchId=8ae2420a-31f3-491e-a02c-c08b7c681611&rps=233,CFO CZ/Finanční ředitel/ka pro CZ,,Praha – Braník,,,finance-banking,OneFlow DD + investor relations + fundraising prep,CFO,https://www.jobs.cz/rpd/2001197171/?searchId=8ae2420a-31f3-491e-a02c-c08b7c681611&rps=233
THALOR Group a.s.,fundraising,Fundraising / IR / Capital Markets,37,0,2,1,,,,,https://www.jobs.cz/rpd/2001118673/?searchId=4887ea8a-cae7-43b2-92bf-82b62692bef7&rps=233,CFO - Chief Financial Officer,,Mohelnice,,,finance-banking,OneFlow DD + investor relations + fundraising prep,CFO,https://www.jobs.cz/rpd/2001118673/?searchId=4887ea8a-cae7-43b2-92bf-82b62692bef7&rps=233
iNET Solutions s.r.o.,paid_media,Paid media specialist,37,5,1,1,jobs.cz,,,,https://www.jobs.cz/rpd/2001173556/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233,PERFORMANCE MARKETING SPECIALIST,,Praha – Hostivař,,,icp-paid-media,Meta Ads / Google Ads agency (25-50k Kč/měs retainer),PERFORMANCE MARKETING,https://www.jobs.cz/rpd/2001173556/?searchId=ef3b2a56-45aa-407f-ba2d-62568c71e940&rps=233
